id,hashtag,board_id,content
1,"[{""tag"":""바다""},{""tag"":""숙박""},{""tag"":""쇼핑""}]",1,"5일간의 해변 휴가를 마치고 돌아왔어요! 친구들과 함께 떠난 이 여행은 정말 잊지 못할 경험이었어요. 첫째 날, 터키의 파라다이스 같은 해변에서 여유로운 시간을 보냈어요. 햇살과 함께 즐긴 해수욕은 정말 상쾌했어요! 

둘째 날에는 현지 맛집에서 맛있는 해산물 요리를 즐겼답니다. 신선한 해산물의 풍부한 맛은 여행의 묘미를 더했어요. 저녁에는 해변 캠프 파이어를 즐기며 음악 소리에 몸을 맡겼어요. 

마지막 날, 일출을 보며 여행을 마무리했어요. 여전히 두 눈이 부시게 빛나는 해변은 마음에 영원히 기억될 것 같아요. 다음 모험을 기대하며 돌아갑니다."
2,"[{""tag"":""도시""},{""tag"":""숙박""},{""tag"":""힐링""}]",2,"도시 탐험 3일차를 마치고 돌아왔어요! 친구들과 함께 떠난 이 여행은 다양한 경험이 가득한 도시에서의 모험이었어요. 첫째 날, 도심 속 예술과 역사에 푹 빠져 도서관과 미술관을 돌았어요. 

둘째 날, 길거리 예술가들의 공연을 감상하며 거리에서 생기 넘치는 에너지를 느꼈어요. 이 도시는 정말로 살아있는 예술의 중심지인 것 같아요! 그리고 밤에는 도시의 불빛이 빛나는 야경을 감상했어요. 

마지막 날, 동네 카페에서 현지인들과 대화를 나누며 이 도시의 다양한 문화를 더 깊게 이해할 수 있었어요. 다음 도시에서 또 만날 날을 기대하며 이 도시를 떠났어요."
3,"[{""tag"":""산""},{""tag"":""자연""},{""tag"":""풍경""}]",3,"자유 여행 4일차를 마치고 돌아왔어요! 이번 여행은 미리 정해진 일정 없이 자유롭게 자연을 탐험하는 것에 초점을 맞춘 특별한 경험이었어요. 첫째 날, 우리는 산 속 작은 마을에서 자전거를 빌려 여유로운 도로를 따라 주변을 돌아다녔어요."
4,"[{""tag"":""도시""},{""tag"":""음식""},{""tag"":""숙박""}]",4,"도심 속 작은 발견 2일차를 마치고 돌아왔어요! 도심 속에서도 작은 숨은 보석들을 찾아내는 여행은 정말로 흥미진진했어요. 첫째 날, 도시의 골목길에서 예쁜 벽화와 독특한 상점을 발견했어요."
5,"[{""tag"":""도시""},{""tag"":""숙박""},{""tag"":""문화""}]",5,"역동적인 도시 라이프 5일간을 즐기고 돌아왔어요! 이번 여행은 도시의 다양한 활동과 문화를 경험하는 데 중점을 두었어요. 첫째 날, 우리는 현지 쇼핑몰에서 쇼핑을 즐기고 도시의 유명한 레스토랑에서 저녁을 즐겼어요."
6,"[{""tag"":""관광""},{""tag"":""문화""},{""tag"":""문화""},{""tag"":""산""},{""tag"":""숙박""}]",6,"역사적인 마을 여행 3일 동안을 마치고 돌아왔어요! 이번 여행은 과거의 흔적들을 찾아 마을을 돌아다니며 역사의 아름다움을 느끼는 것이 목표였어요. 첫째 날, 우리는 오래된 거리를 따라 걸어가며 흥미로운 역사적 건물과 박물관을 탐방했어요."
7,"[{""tag"":""관광""},{""tag"":""문화""},{""tag"":""자연""},{""tag"":""산""},{""tag"":""숙박""}]",7,"액티브 어드벤처 여행 7일을 마치고 돌아왔어요! 이번 여행은 활기찬 액티비티와 자연 속에서의 모험에 초점을 맞춘 특별한 경험이었어요. 첫째 날, 우리는 산악 자전거 타기를 통해 숨막히는 자연 경관을 만끽했어요. ♀"
8,"[{""tag"":""도시""},{""tag"":""카페""},{""tag"":""풍경""}]",8,"레트로한 도심 여행 4일간을 마치고 돌아왔어요! 이번 여행은 도심의 레트로한 분위기를 느끼며 과거의 매력에 푹 빠져보기로 했어요. 첫째 날, 우리는 레트로 카페에서 비알코올 칵테일을 즐기며 고요한 분위기를 느꼈어요."
9,"[{""tag"":""관광""},{""tag"":""문화""},{""tag"":""자연""},{""tag"":""산""},{""tag"":""숙박""}]",9,"루프탑 풀파티 여행 2일 동안을 즐기고 돌아왔어요! 이번 여행은 도심 속에서의 화려한 루프탑 풀파티를 즐기는 것에 초점을 맞추었어요. 첫째 날, 우리는 고층 빌딩의 루프탑에서 더운 날씨를 잊게 하는 풀파티에 참여했어요."
10,"[{""tag"":""관광""},{""tag"":""문화""},{""tag"":""자연""},{""tag"":""음식""},{""tag"":""숙박""}]",10,"신비로운 섬 여행 3일차를 마치고 돌아왔어요! 이번 여행은 항해로 도달하는 작은 섬에서의 모험에 초점을 맞추었어요. 첫째 날, 선착장에서 바다풍경을 감상하며 섬으로 향하는 여정을 시작했어요. 

둘째 날, 섬의 작은 마을을 돌아다니며 현지 문화를 체험했어요. 작은 상점에서는 섬 특산품을 살 수 있었고, 그곳의 카페에서 현지 음식을 즐겼어요. 이곳에서 마음의 평화를 느끼며 여유로운 시간을 보냈어요. 

마지막 날, 섬의 해안가에서 일출을 감상하며 이번 여행을 마무리했어요. 작은 섬에서의 여정은 정말로 신비롭고 기억에 남는 경험이었어요. 다음 여행은 어디로 떠날지 고민 중이에요."
11,"[{""tag"":""액티비티""},{""tag"":""자연""},{""tag"":""산""},{""tag"":""숙박""}]",11,"자전거 여행 4일을 즐기고 돌아왔어요! 이번 여행은 자전거를 타고 자연 속에서의 아름다움을 느끼는 것에 중점을 둔 여행이었어요. 첫째 날, 우리는 자전거 도로를 따라 끝없이 펼쳐진 들판과 숲을 달려갔어요. ♀

둘째 날, 자전거 여행지에서는 새로운 친구들과 만나 소소한 피크닉을 즐겼어요. 사랑스러운 마을 카페에서의 쉼표는 여행의 아름다운 기억으로 남았어요. 

마지막 날, 일몰을 배경으로 한 언덕에서 자전거를 타며 멋진 풍경을 감상하며 여행을 마무리했어요. 다음에는 또 다른 자전거 여행을 계획하고 있어요."
12,"[{""tag"":""관광""},{""tag"":""문화""},{""tag"":""음식""}]",12,"먹방 여행 5일 동안을 마치고 돌아왔어요! 이번 여행은 지역마다 특색 있는 음식을 맛보며 여행하는 먹방 여행이었어요. 첫째 날, 우리는 현지 재래시장에서 다양한 길거리 음식을 즐겼어요. 

첫째 날, 지역 명물을 소개하는 레스토랑에서 특별한 요리를 시도했어요. 현지 주민들과 함께 식사를 하며 그곳의 문화를 더 깊게 이해하는 시간이었어요. 

마지막 날, 디저트 카페에서 달콤한 디저트를 즐기며 이번 여행의 맛있는 기억을 마무리했어요. 다음 먹방 여행은 어떤 음식을 맛볼지 기대되네요!"
13,"[{""tag"":""카페""},{""tag"":""문화""},{""tag"":""도시""},{""tag"":""숙박""}]",13,"산책과 예술의 도시 여행 3일간을 마치고 돌아왔어요! 이번 여행은 고즈넉한 산책과 예술 감상을 통해 마음의 평화를 찾는 것이 목표였어요. 첫째 날, 우리는 도시의 작은 공원에서 산책을 즐기며 신선한 공기와 자연 속에서의 평온함을 느꼈어요. 

둘째 날, 예술가의 작업실을 방문하여 작품과 아티스트의 이야기를 듣는 시간을 가졌어요. 작은 갤러리에서는 도시의 아름다움을 표현한 다양한 작품들을 감상했어요. 

마지막 날, 도시의 예술가 거리를 따라 걷며 거리 예술을 감상하며 이번 여행을 마무리했어요. 예술로 가득 찬 여행은 정말로 감동적이었어요."
